Interior(Sq Ft),# of Bed,# of Bath,# of Rooms,Condo Fee,Tax, Sale Price 
0,2,1,4,70,490,"1,06,000"
850,2,1,5,100,923,"95,000"
730,2,1,4,185,575,"1,31,000"
1058,3,1,5,163,1682,"1,25,000"
1585,2,1,6,100,1402,"79,000"
1460,3,2,6,100,1582,"1,35,000"
1630,4,1,8,50,1659,"1,18,000"
1330,3,1,6,100,1590,"1,54,000"
1225,2,1,6,100,1698,"1,11,500"
1446,3,1,6,150,2120,"4,45,000"
950,2,1,5,100,1114,"1,28,500"
850,2,1,5,100,1114,"1,54,000"
927,2,1,5,80,1781,"1,42,000"
708,1,1,3,121,456,"1,43,000"
570,1,1,4,115,792,"2,12,500"
1739,3,2,7,154,2203,"1,49,000"
570,1,1,3,99,630,"1,25,000"
915,2,1,5,168,1700,"1,89,000"
915,2,1,5,168,1556,"2,02,000"
570,1,1,3,98,470,"2,06,000"
520,1,1,3,114,519,"1,75,000"
910,2,1,5,199,1374,"2,08,000"
890,2,1,5,194,1193,"1,36,500"
730,1,1,4,170,1011,"1,66,000"
730,1,1,4,170,966,"97,000"
840,1,1,4,188,1353,"75,000"
858,2,1,4,110,1847,"2,05,000"
1050,2,2,4,160,2676,"1,72,500"
1277,2,2,5,0,1857,"1,79,000"
707,2,1,4,120,1530,"1,05,000"
900,2,1,5,182,2243,"1,66,000"
900,2,1,5,154,1194,"1,50,700"
707,2,1,4,120,1744,"1,66,000"
436,1,1,3,90,1032,"1,45,000"
516,1,1,3,88,577,"1,22,000"
1170,2,1,6,277,1929,"1,35,000"
1040,2,1,5,100,1015,"1,65,000"
695,1,1,4,185,584,"2,14,500"
706,1,1,4,189,630,"1,52,000"
600,1,1,4,155,967,"1,65,000"
940,2,1,4,123,412,"1,42,000"
794,1,1,4,159,704,"89,000"
959,2,1,5,130,466,"1,33,000"
1027,2,1,4,176,907,"1,44,000"
667,1,1,3,127,653,"1,10,000"
1000,2,2,5,100,830,"1,20,000"
1184,3,2,5,243,2659,"1,01,000"
600,1,1,3,123,729,"1,25,000"
1370,2,2,5,409,3995,"1,21,000"
1330,2,2,4,400,3667,"1,19,500"
810,1,1,4,238,2143,"1,38,500"
1575,2,2,5,524,3849,"1,10,000"
1225,2,2,5,390,2629,"1,60,000"
1200,2,2,5,380,3140,"1,79,000"
1950,3,3,6,729,5100,"1,00,000"
810,1,1,3,229,2218,"5,05,000"
1210,2,2,5,366,3126,"2,15,000"
1644,2,2,5,537,4002,"5,30,000"
1935,3,2,6,780,6669,"4,00,000"
1595,2,3,5,484,3734,"3,80,000"
1705,3,2,6,483,3518,"5,35,000"
980,2,2,5,202,826,"2,25,000"
1190,2,1,5,107,1901,"3,70,000"
1190,2,1,6,110,1326,"5,75,000"
905,2,2,4,214,1853,"8,75,000"
1016,2,1,5,153,1965,"4,40,000"
597,1,1,3,96,635,"4,60,000"
605,1,1,3,177,432,"1,16,500"
620,1,1,3,181,378,"1,53,000"
620,1,1,3,181,412,"1,62,000"
1054,2,1,5,75,701,"1,32,500"
1206,2,2,5,275,2130,"1,39,000"
1337,3,2,7,296,2301,"1,29,000"
1204,2,2,5,308,2000,"82,882"
1205,2,2,5,320,2505,"1,06,000"
1202,2,2,5,310,2267,"1,06,000"
1221,2,1,4,347,2306,"2,61,000"
1187,2,2,4,341,2263,"2,60,000"
1138,2,2,4,363,2530,"2,55,000"
791,1,1,3,248,2344,"2,56,000"
818,1,1,3,230,1932,"2,61,000"
1287,2,2,4,306,2012,"2,40,000"
1270,2,2,5,378,1300,"2,31,500"
920,2,1,5,100,585,"2,65,000"
955,2,1,5,100,1183,"2,00,000"
872,2,1,4,195,959,"1,78,000"
1124,2,1,5,80,1155,"2,40,000"
1124,2,1,5,100,1596,"2,74,500"
1418,3,2,6,140,2118,"1,12,000"
950,2,2,5,100,1483,"1,77,000"
1060,2,1,5,96,1239,"1,34,000"
1060,2,1,5,100,1298,"1,60,000"
832,2,1,4,154,1140,"1,95,000"
832,2,1,4,169,1313,"2,22,500"
1427,2,2,5,123,2988,"1,80,000"
2007,3,3,6,126,3657,"1,48,000"
1230,2,3,5,296,2050,"1,60,000"
1180,2,2,4,309,2414,"1,36,000"
1191,2,2,4,296,2428,"1,49,000"
1050,2,2,4,130,826,"3,95,000"
1388,2,2,5,176,1602,"3,76,500"
875,2,1,4,168,1540,"2,18,000"
931,2,2,5,204,1825,"1,86,000"
1070,2,2,5,224,1229,"2,05,000"
931,2,2,4,214,1917,"1,05,000"
1737,3,2,7,137,1644,"1,63,000"
710,1,1,4,100,348,"1,09,000"
1200,2,1,6,70,2199,"1,32,000"
1170,3,1,6,125,1837,"1,47,000"
1422,3,1,7,125,1837,"1,41,000"
690,1,1,4,155,622,"2,15,000"
1525,2,2,5,223,1275,"1,05,000"
1775,3,2,7,280,2432,"1,60,000"
1266,3,2,6,193,1268,"1,87,500"
1290,2,2,5,133,1567,"2,61,000"
529,1,1,3,49,202,"73,000"
568,1,1,3,247,783,"2,17,000"
946,2,2,4,248,1134,"2,50,000"
620,1,1,3,246,1344,"2,35,000"
498,1,1,3,140,989,"2,47,000"
504,1,1,3,134,755,"87,000"
493,1,1,3,142,888,"1,00,500"
500,1,1,3,136,297,"1,71,000"
531,1,1,3,182,519,"1,30,000"
748,2,1,4,134,590,"79,000"
891,1,1,4,160,511,"1,03,500"
744,1,1,3,133,587,"98,000"
704,1,1,3,126,618,"1,01,000"
996,2,2,4,204,1747,"77,000"
632,1,1,3,130,734,"1,41,800"
1448,3,2,5,150,1522,"1,33,000"
1447,3,2,5,151,1550,"1,32,000"
1491,3,1,6,75,1000,"97,500"
805,2,1,5,150,874,"1,47,000"
580,1,1,3,149,524,"82,000"
570,1,1,3,152,587,"1,80,000"
570,1,1,3,152,587,"1,92,500"
1785,3,2,8,142,2010,"1,27,000"
1405,3,2,6,84,1352,"1,03,000"
950,2,1,5,75,750,"79,000"
950,2,1,5,75,750,"80,000"
924,2,2,4,215,1532,"3,05,000"
1138,2,1,5,110,1159,"1,75,000"
825,1,2,4,90,1765,"97,400"
1042,2,2,5,120,1929,"1,15,000"
1335,3,2,6,180,2087,"1,51,000"
1490,4,2,7,200,2386,"2,05,000"
1663,3,2,7,150,1439,"1,26,000"
1058,3,1,6,135,966,"1,65,000"
585,1,1,3,75,532,"2,52,000"
1000,3,1,5,80,800,"2,60,000"
1115,3,1,6,152,1599,"1,91,000"
1882,2,2,7,210,1705,"1,62,000"
1022,2,1,6,100,895,"68,000"
1558,3,1,6,239,2394,"1,20,000"
1350,3,1,7,75,1193,"1,85,000"
1200,2,1,5,100,1698,"2,35,000"
786,2,1,4,199,820,"1,81,000"
1150,2,2,5,100,1449,"2,59,000"
549,1,1,3,84,910,"1,94,000"
820,1,1,4,200,1020,"2,00,000"
1005,3,2,6,250,986,"2,10,000"
968,2,1,5,45,600,"1,12,000"
963,2,2,5,242,957,"1,55,000"
640,1,1,3,198,679,"1,58,000"
655,1,1,3,198,445,"1,29,000"
954,2,1,5,75,1220,"1,04,000"
1420,3,1,6,75,1467,"91,250"
1459,3,1,6,85,1733,"93,000"
2568,2,1,5,53,547,"1,61,000"
1010,2,1,5,120,1316,"1,55,000"
804,2,1,5,129,1696,"1,72,500"
720,2,1,4,118,1500,"1,15,000"
915,2,1,5,207,1031,"1,66,500"
915,2,1,5,207,1725,"1,41,000"
1100,3,1,6,312,1495,"1,55,000"
1125,3,1,5,219,1745,"1,60,000"
862,2,1,4,168,836,"1,31,000"
906,2,1,4,200,997,"1,70,000"
1125,2,1,5,250,1626,"1,82,000"
844,2,2,4,176,1394,"1,30,000"
876,2,1,4,208,975,"1,51,750"
969,2,2,4,223,1142,"1,72,000"
972,2,2,4,204,1147,"1,20,000"
874,2,2,4,255,1746,"1,04,000"
612,1,1,3,147,543,"1,18,000"
863,2,2,4,183,1766,"1,39,000"
533,1,1,4,117,511,"97,000"
592,1,1,4,129,1252,"80,250"
601,1,1,4,132,611,"1,14,500"
601,1,1,3,132,1206,"1,05,000"
533,1,1,3,116,475,"93,000"
601,1,1,3,132,1278,"95,000"
775,2,1,4,151,823,"1,05,500"
775,2,1,4,151,1324,"92,000"
775,2,1,4,159,876,"85,000"
637,1,1,3,137,620,"1,39,500"
760,2,1,4,147,867,"1,26,000"
850,2,1,4,150,909,"1,21,000"
1127,2,1,5,231,1158,"1,04,000"
1060,2,1,6,217,984,"1,41,300"
823,2,2,4,288,1108,"1,42,500"
810,2,2,4,239,1010,"1,70,000"
1955,3,3,6,123,3340,"1,55,000"
887,2,1,5,173,1407,"1,55,800"
670,2,1,4,59,947,"1,46,000"
1350,2,1,6,249,1396,"3,90,000"
665,1,1,3,180,831,"2,20,000"
665,1,1,3,188,1482,"1,35,000"
916,2,2,4,215,1723,"1,87,000"
916,2,2,4,215,1127,"1,10,000"
1366,2,1,5,98,1684,"1,10,000"
1446,3,1,6,158,1993,"1,35,000"
1130,2,1,5,75,801,"1,67,000"
1214,3,1,6,120,941,"1,70,000"
505,1,1,3,125,490,"2,22,000"
505,1,1,3,175,68,"1,25,000"
504,1,1,2,125,490,"51,000"
599,1,1,3,100,410,"62,000"
1100,4,1,7,170,1737,"53,500"
1330,3,2,7,170,1737,"69,000"
1400,3,1,6,170,1737,"2,00,000"
1100,4,1,7,170,2485,"1,98,000"
1260,3,1,6,175,2213,"2,50,000"
1100,2,1,6,128,1311,"2,14,000"
1054,2,1,5,100,998,"2,45,500"
1270,3,1,5,150,1250,"1,38,000"
929,2,1,4,140,726,"1,35,000"
929,2,1,4,143,859,"1,70,000"
725,2,1,4,100,800,"1,05,000"
935,2,1,5,70,1042,"1,06,000"
1108,2,1,5,80,1071,"1,05,000"
902,2,1,4,170,572,"1,59,000"
660,2,1,4,80,797,"1,45,000"
908,2,1,5,100,1432,"1,18,500"
1730,3,2,7,40,2001,"1,00,000"
1649,3,2,7,140,2256,"1,13,900"
929,2,1,4,165,1879,"2,07,500"
929,2,1,5,198,1353,"2,93,000"
1272,2,2,5,273,1985,"1,90,000"
1120,2,1,5,108,1335,"1,66,000"
1056,2,1,5,91,1036,"2,60,000"
1056,2,1,5,104,1268,"1,77,000"
1795,3,2,6,290,2384,"1,55,500"
491,1,1,3,140,378,"1,56,000"
965,2,1,5,162,1490,"2,88,000"
1160,3,1,6,198,1692,"85,500"
815,2,1,5,203,1086,"1,86,000"
545,1,1,3,159,1234,"1,60,000"
815,2,1,5,175,1681,"1,48,000"
550,1,1,3,142,306,"89,000"
815,2,1,5,193,1086,"1,44,000"
815,2,1,5,232,1336,"1,14,000"
1150,2,1,5,200,2416,"1,40,000"
555,1,1,3,141,1083,"1,52,500"
595,1,1,4,151,639,"2,59,000"
575,1,1,3,149,769,"88,000"
1256,3,1,6,252,1939,"1,29,900"
1079,2,1,4,221,1633,"75,000"
545,1,1,3,142,545,"2,10,000"
1079,2,1,5,211,1328,"1,88,500"
1079,2,1,5,211,1506,"1,20,000"
1074,2,1,5,220,1623,"1,65,000"
696,2,1,4,106,290,"1,68,000"
705,2,1,4,106,935,"1,66,000"
981,3,1,6,125,1788,"1,15,000"
880,2,1,5,75,1770,"1,18,000"
906,2,1,5,90,1175,"1,40,000"
990,2,1,6,160,1119,"1,33,100"
1178,2,1,5,65,1955,"1,39,000"
1223,2,1,6,98,1234,"1,55,000"
1223,2,1,5,98,2006,"1,87,500"
1262,3,1,6,89,1650,"1,91,500"
917,2,1,5,162,1337,"1,91,300"
649,1,1,4,129,882,"2,09,000"
808,1,1,4,143,1109,"1,80,000"
762,1,1,4,163,1059,"1,16,500"
1012,2,2,4,435,1811,"1,45,000"
1022,2,2,5,364,1963,"1,25,000"
1018,1,1,4,347,2548,"2,10,000"
586,1,1,3,161,707,"2,12,500"
1221,2,2,4,358,2910,"2,25,000"
603,1,1,4,219,1856,"1,27,500"
619,1,1,3,144,1648,"2,60,000"
871,2,1,4,186,2133,"1,46,000"
1248,2,2,5,296,2799,"1,20,000"
424,1,1,3,155,627,"1,72,500"
387,1,1,3,150,1115,"3,05,000"
384,1,1,3,149,1107,"79,900"
398,1,1,3,134,449,"72,000"
1068,2,2,4,163,1284,"72,000"
972,2,2,4,156,1208,"76,500"
752,1,1,4,141,1712,"2,00,000"
1068,2,2,5,220,2656,"1,72,500"
1006,2,2,5,206,1766,"1,49,500"
1114,2,2,4,169,1836,"2,15,000"
1114,2,2,5,192,2384,"1,87,500"
1262,2,2,5,215,2411,"1,82,500"
1060,2,2,4,186,1865,"2,30,000"
700,1,1,4,198,733,"2,58,000"
912,1,1,4,246,1384,"2,10,000"
902,2,1,4,130,643,"1,31,000"
920,2,1,4,131,719,"1,26,000"
910,2,1,4,130,1729,"94,500"
1374,2,2,4,644,6944,"1,02,000"
1374,2,2,4,742,7437,"1,10,000"
610,1,1,3,153,703,"6,15,000"
490,1,1,3,148,615,"6,25,000"
610,1,1,4,161,625,"1,15,000"
482,1,1,2,178,1131,"86,000"
620,1,1,3,269,1395,"1,39,000"
640,1,1,3,195,1709,"85,000"
1230,2,1,6,419,3108,"1,53,000"
1410,2,2,6,522,2764,"1,36,000"
1050,2,1,5,284,2086,"2,10,000"
1130,2,2,4,404,3159,"2,50,000"
1436,2,2,5,551,4059,"2,65,000"
1073,1,1,4,428,3522,"3,15,000"
1130,2,2,5,567,3335,"4,55,000"
1389,2,2,4,504,3287,"3,00,000"
915,2,1,5,224,2564,"3,70,000"
915,2,1,5,247,1551,"4,00,000"
915,2,1,5,203,1439,"1,72,000"
811,1,1,4,361,1986,"1,85,000"
1106,2,2,5,406,2255,"1,80,000"
1108,2,2,5,444,3421,"1,41,000"
1239,2,2,4,526,3774,"2,95,000"
891,1,1,3,369,2841,"2,72,500"
891,1,1,4,407,1745,"2,59,000"
1017,2,2,5,60,1245,"1,65,000"
920,2,1,5,152,1280,"1,80,000"
920,2,1,5,152,1467,"1,71,500"
830,1,1,3,137,505,"1,72,000"
1142,2,1,6,266,1190,"1,58,500"
1142,2,1,5,275,1251,"1,37,000"
1104,2,1,5,206,1014,"1,63,500"
2249,4,3,7,57,2103,"1,70,000"
1123,2,1,4,86,1279,"1,85,500"
844,2,1,5,110,1761,"1,53,000"
975,3,1,6,110,1364,"1,32,000"
1089,3,1,6,110,1926,"1,45,500"
943,2,1,5,172,1198,"1,80,000"
1350,2,2,5,110,1137,"1,55,000"
1150,2,1,6,80,1100,"1,27,000"
935,3,1,5,100,809,"1,39,000"
1122,2,1,5,100,1043,"1,34,000"
957,4,1,6,115,1197,"1,21,500"
865,2,1,5,60,789,"1,39,000"
950,2,1,6,65,904,"90,000"
1093,3,1,6,100,1972,"1,07,500"
1202,2,2,5,150,1095,"1,23,000"
864,2,2,5,140,2002,"1,42,000"
1250,3,1,6,60,1680,"1,56,000"
935,2,1,5,90,1000,"1,35,000"
1191,2,1,4,70,760,"1,69,000"
479,1,1,3,111,341,"1,18,000"
915,1,1,5,232,1802,"1,56,000"
914,2,2,4,150,1363,"79,000"
1013,2,2,4,146,1327,"1,21,500"
980,2,2,4,154,1406,"1,14,000"
1013,2,2,4,183,1198,"1,15,000"
1032,2,2,4,154,1398,"1,24,000"
1689,4,2,7,267,2214,"1,33,000"
955,2,2,4,122,1103,"1,18,000"
1156,2,2,5,162,1477,"1,83,000"
1270,2,2,4,170,1546,"1,26,000"
970,2,2,4,249,1585,"1,45,000"
863,1,1,3,232,1500,"1,35,000"
1157,2,2,4,248,2252,"1,90,000"
863,1,1,3,225,1365,"2,10,000"
1277,2,2,4,320,2197,"2,12,500"
1119,2,2,4,319,2209,"3,10,000"
1648,3,3,7,505,3465,"3,00,000"
1208,2,2,4,369,3349,"3,90,000"
1678,3,3,6,511,3525,"2,95,000"
863,1,1,3,274,1600,"3,96,600"
1617,3,3,6,492,3624,"2,20,000"
889,1,1,3,311,2225,"3,81,463"
1208,2,2,5,431,3363,"1,98,500"
960,3,1,6,50,1545,"2,70,000"
1020,2,1,5,100,823,"1,66,000"
740,2,1,4,85,379,"1,27,500"
3260,4,2,9,150,1928,"66,000"
1200,2,1,5,175,2557,"2,90,000"
603,1,1,3,142,1254,"2,50,000"
597,1,1,4,150,1302,"89,000"
1149,3,1,6,194,1975,"1,21,000"
642,2,1,4,107,724,"2,12,000"
961,2,1,5,172,1284,"1,59,000"
997,2,1,5,208,1794,"1,78,000"
874,1,1,4,182,1289,"2,10,000"
1423,4,2,6,200,1665,"1,57,000"
1090,2,1,5,134,1799,"2,52,000"
1150,2,2,4,140,1193,"1,75,000"
1425,2,2,5,158,1604,"2,20,000"
826,2,1,5,51,1518,"1,50,000"
672,2,1,4,90,294,"93,500"
695,2,1,5,100,391,"1,04,000"
801,2,1,5,88,789,"92,500"
1194,3,1,6,256,3368,"2,90,000"
1194,3,1,6,256,3368,"2,70,000"
928,2,2,4,187,2166,"1,55,000"
905,1,1,3,114,1958,"1,51,700"
950,3,1,5,90,1697,"1,17,000"
1059,2,1,5,85,2280,"1,75,000"
1147,2,1,5,102,2448,"2,18,000"
1158,2,2,5,253,2323,"1,15,000"
841,2,2,4,184,1689,"71,000"
842,2,2,4,184,1690,"1,10,000"
892,2,2,4,195,1092,"90,000"
574,1,1,3,129,1085,"62,000"
1253,2,2,4,274,2186,"1,05,000"
911,2,2,4,199,1209,"99,500"
1202,2,1,4,141,920,"1,33,500"
1098,3,2,6,286,1289,"1,54,000"
809,2,2,4,193,1544,"1,13,500"
1758,3,2,6,190,2811,"2,90,000"
712,2,1,5,116,604,"1,08,000"
560,2,1,5,112,857,"91,000"
712,2,1,5,127,783,"1,34,500"
1824,2,3,6,146,2989,"2,75,000"
550,1,1,3,107,736,"1,04,500"
731,1,1,3,143,982,"1,37,000"
731,1,1,3,165,1078,"1,43,000"
541,1,1,2,128,695,"1,38,000"
541,1,1,3,146,879,"1,21,000"
562,1,1,3,146,922,"1,25,333"
1000,2,1,4,100,1190,"1,10,000"
1000,2,1,4,100,1190,"1,14,000"
561,1,1,3,144,847,"1,35,000"
660,1,1,3,190,678,"1,00,000"
895,2,1,4,170,1195,"85,000"
660,1,1,3,170,777,"1,00,000"
660,1,1,3,190,678,"1,17,000"
660,1,1,3,170,1372,"1,03,000"
660,1,1,3,170,657,"1,19,000"
660,1,1,3,180,777,"1,08,000"
660,1,1,3,190,777,"1,17,000"
660,1,1,3,170,1372,"1,05,000"
660,1,1,3,190,725,"1,20,000"
1095,2,1,4,115,1453,"1,76,000"
1240,2,2,5,88,1371,"1,29,500"
650,1,1,3,154,578,"1,25,000"
607,1,1,4,154,1193,"1,22,000"
650,1,1,3,140,504,"1,19,900"
607,1,1,3,154,791,"1,08,900"
817,1,1,4,177,934,"1,50,000"
840,1,1,5,159,1016,"1,55,750"
607,1,1,3,154,598,"1,16,500"
1103,2,1,5,209,1827,"1,86,500"
800,1,1,4,25,33,"1,48,000"
1667,4,1,7,128,2145,"2,80,000"
1325,3,2,5,55,1688,"2,70,000"
1000,2,1,5,66,1269,"1,85,000"
1469,3,2,6,100,1903,"2,90,000"
1104,3,2,6,83,2043,"2,49,500"
